feature,importance,ranker,selection_split,selection_scope,n_selection_scopes,n_train_rows,n_train_positive,n_train_negative,rank,fold,feature_strategy,selected_feature_k,selected
is10__opensmile_is10_voicingFinalUnclipped_sma_de_kurtosis,0.0631901152987337,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,64,1,compare_is10_top800_lightgbm,800.0,True
is10__opensmile_is10_logMelFreqBand_sma_de_1_percentile1_0,0.06139175374811003,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,65,1,compare_is10_top800_lightgbm,800.0,True
strong__mel_band_64_q75,0.06120926046298538,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,66,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_mfcc_sma_de_3_posamean,0.05974352451806954,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,67,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_mfcc_sma_de_1_meanPeakDist,0.05918550835143121,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,68,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_audSpec_Rfilt_sma_de_11_meanPeakDist,0.05874131134474419,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,69,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_pcm_fftMag_spectralSkewness_sma_de_percentile1_0,0.05811952569309994,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,70,1,compare_is10_top800_lightgbm,800.0,True
strong__mel_band_01_std,0.057582205379473846,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,71,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_pcm_fftMag_fband250_650_sma_de_quartile2,0.057539674164363175,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,72,1,compare_is10_top800_lightgbm,800.0,True
is10__opensmile_is10_mfcc_sma_5_quartile1,0.057537162794933705,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,73,1,compare_is10_top800_lightgbm,800.0,True
strong__delta_mfcc_03_max,0.057371841972069376,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,74,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_pcm_fftMag_spectralSlope_sma_de_meanPeakDist,0.05711524933714189,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,75,1,compare_is10_top800_lightgbm,800.0,True
strong__spectral_contrast_02_q25,0.056508211297309235,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,76,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_mfcc_sma_2_meanPeakDist,0.056246562571577514,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,77,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_mfcc_sma_13_lpc2,0.054984610387185544,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,78,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_mfcc_sma_de_8_meanRisingSlope,0.054473653739940626,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,79,1,compare_is10_top800_lightgbm,800.0,True
strong__mfcc_09_mean,0.0533000539883191,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,80,1,compare_is10_top800_lightgbm,800.0,True
is10__opensmile_is10_mfcc_sma_10_linregc2,0.05311622421212724,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,81,1,compare_is10_top800_lightgbm,800.0,True
strong__mfcc_08_mean,0.05289446228251316,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,82,1,compare_is10_top800_lightgbm,800.0,True
strong__spectral_contrast_05_q25,0.05274129461439788,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,83,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_audSpec_Rfilt_sma_de_23_upleveltime25,0.0525131596540527,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,84,1,compare_is10_top800_lightgbm,800.0,True
